SolverIterations,BoxType,StackHeightMultiplier,Gravity,BoxDensity,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
6,Cube,1,6,0.2,0,55.6,0,0.000385
7,Cube,1,6,0.2,0,58,0,0.000361
8,Cube,1,6,0.2,0,57.6,0,0.00037
9,Cube,1,6,0.2,0,80.6,0,0.0004
10,Cube,1,6,0.2,0,70,0,0.000365
11,Cube,1,6,0.2,0,71.8,0,0.000403
12,Cube,1,6,0.2,0,71.6,0,0.000337
13,Cube,1,6,0.2,0,82.1,0,0.000373
14,Cube,1,6,0.2,0,81.2,0,0.000386
6,FlatBox,1,6,0.2,0,96,0,0.000375
7,FlatBox,1,6,0.2,0,120.2,0,0.0004
8,FlatBox,1,6,0.2,0,104.4,0,0.000373
9,FlatBox,1,6,0.2,0,126.8,0,0.000411
10,FlatBox,1,6,0.2,0,115.4,0,0.00041
11,FlatBox,1,6,0.2,0,149.6,0,0.000379
12,FlatBox,1,6,0.2,0,136,0,0.000384
13,FlatBox,1,6,0.2,0,145.4,0,0.000433
14,FlatBox,1,6,0.2,0,135.8,0,0.000403
6,BigFlatBox,1,6,0.2,0,268.2,0,0.000392
7,BigFlatBox,1,6,0.2,0,352.4,0,0.000391
8,BigFlatBox,1,6,0.2,0,344,0,0.000382
9,BigFlatBox,1,6,0.2,0,341.8,0,0.000383
10,BigFlatBox,1,6,0.2,0,378.6,0,0.000397
11,BigFlatBox,1,6,0.2,0,370.5,0,0.000392
12,BigFlatBox,1,6,0.2,0,457.4,0,0.000402
13,BigFlatBox,1,6,0.2,0,379.2,0,0.000388
14,BigFlatBox,1,6,0.2,0,408,0,0.000408
6,Cube,1.01,6,0.2,0,48.4,0,0.000436
7,Cube,1.01,6,0.2,0,55.6,0,0.000429
8,Cube,1.01,6,0.2,0,62.4,0,0.000453
9,Cube,1.01,6,0.2,0,68.2,0,0.000412
10,Cube,1.01,6,0.2,0,66.2,0,0.000403
11,Cube,1.01,6,0.2,0,71.2,0,0.000406
12,Cube,1.01,6,0.2,0,89.4,0,0.000399
13,Cube,1.01,6,0.2,0,78,0,0.000386
14,Cube,1.01,6,0.2,0,82.4,0,0.000338
6,FlatBox,1.01,6,0.2,0,111.8,0,0.00042
7,FlatBox,1.01,6,0.2,0,95.8,0,0.000402
8,FlatBox,1.01,6,0.2,0,136.4,0,0.000399
9,FlatBox,1.01,6,0.2,0,122,0,0.000402
10,FlatBox,1.01,6,0.2,0,120,0,0.000406
11,FlatBox,1.01,6,0.2,0,134,0,0.0004
12,FlatBox,1.01,6,0.2,0,154.4,0,0.000418
13,FlatBox,1.01,6,0.2,0,167.2,0,0.000401
14,FlatBox,1.01,6,0.2,0,153.2,0,0.000417
6,BigFlatBox,1.01,6,0.2,0,298.6,0,0.000408
7,BigFlatBox,1.01,6,0.2,0,381.2,0,0.000402
8,BigFlatBox,1.01,6,0.2,0,417.5,0,0.000413
9,BigFlatBox,1.01,6,0.2,0,357.2,0,0.000397
10,BigFlatBox,1.01,6,0.2,0,481.3,0,0.00043
