NumberOfBoxes,SolverIterations,BoxType,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
12,8,CompoundBox,0,637.8,0,0.000284
14,8,CompoundBox,0,480.8,0,0.000283
16,8,CompoundBox,0,372,0,0.000304
18,8,CompoundBox,0,273.35,0,0.000328
20,8,CompoundBox,0,266.8,0,0.000341
12,10,CompoundBox,1001,860,0.9,0.000282
14,10,CompoundBox,770.3333,688,0.15,0.000289
16,10,CompoundBox,0,435.7,0,0.000309
18,10,CompoundBox,0,301.5,0,0.000335
20,10,CompoundBox,0,292.35,0,0.000343
12,12,CompoundBox,181.75,0,1,0.000296
14,12,CompoundBox,950.6364,288.2222,0.55,0.000288
16,12,CompoundBox,1001,516.2222,0.1,0.000301
18,12,CompoundBox,0,397.8,0,0.000338
20,12,CompoundBox,0,375,0,0.000355
12,14,CompoundBox,158.2105,260,0.95,0.000305
14,14,CompoundBox,788.3125,299.5,0.8,0.000295
16,14,CompoundBox,1001,436.125,0.2,0.000301
18,14,CompoundBox,232,448.5263,0.05,0.000315
20,14,CompoundBox,0,356.4,0,0.000348
12,16,CompoundBox,184.9474,218,0.95,0.000289
14,16,CompoundBox,239.4286,186.5,0.7,0.000298
16,16,CompoundBox,812.9,273.9,0.5,0.000317
18,16,CompoundBox,887.8,287.6,0.25,0.000317
20,16,CompoundBox,1001,377.4211,0.05,0.000338
12,18,CompoundBox,149.8235,184.3333,0.85,0.00029
14,18,CompoundBox,191,152.5,0.8,0.00029
16,18,CompoundBox,430.3636,193.8889,0.55,0.000318
18,18,CompoundBox,716.8182,368.3333,0.55,0.000316
20,18,CompoundBox,0,514.85,0,0.000332
12,20,CompoundBox,230.7895,162,0.95,0.000283
14,20,CompoundBox,210.4375,151,0.8,0.000284
16,20,CompoundBox,246.1429,281.1667,0.7,0.000314
18,20,CompoundBox,786.5,249.0625,0.2,0.000318
20,20,CompoundBox,946.8333,358.8571,0.3,0.000338
12,8,CompoundBoxSolid,0,540.35,0,0.000251
14,8,CompoundBoxSolid,0,412.8,0,0.000247
16,8,CompoundBoxSolid,0,339.15,0,0.000252
18,8,CompoundBoxSolid,0,273.65,0,0.00026
20,8,CompoundBoxSolid,0,229.4,0,0.000266
12,10,CompoundBoxSolid,1001,626,0.95,0.000256
14,10,CompoundBoxSolid,1001,534.6842,0.05,0.000246
16,10,CompoundBoxSolid,0,403.2,0,0.000253
18,10,CompoundBoxSolid,0,336.75,0,0.000267
20,10,CompoundBoxSolid,0,255.8,0,0.000274
12,12,CompoundBoxSolid,160.25,0,1,0.000254
14,12,CompoundBoxSolid,1001,677,0.75,0.000248
16,12,CompoundBoxSolid,0,478.5,0,0.000254
18,12,CompoundBoxSolid,0,288.85,0,0.000254
20,12,CompoundBoxSolid,0,298,0,0.000264
12,14,CompoundBoxSolid,96.15,0,1,0.00025
14,14,CompoundBoxSolid,1001,193.5,0.9,0.000239
16,14,CompoundBoxSolid,1001,487.9231,0.35,0.000248
18,14,CompoundBoxSolid,0,349.25,0,0.000274
20,14,CompoundBoxSolid,0,283.95,0,0.000262
12,16,CompoundBoxSolid,100.85,0,1,0.00025
14,16,CompoundBoxSolid,169.8667,189.2,0.75,0.000238
16,16,CompoundBoxSolid,1001,317,0.7,0.000249
18,16,CompoundBoxSolid,0,412.25,0,0.000266
20,16,CompoundBoxSolid,0,291.65,0,0.000264
12,18,CompoundBoxSolid,122.3,0,1,0.000249
14,18,CompoundBoxSolid,201.3889,199.5,0.9,0.00024
16,18,CompoundBoxSolid,464.9091,256.7778,0.55,0.000251
18,18,CompoundBoxSolid,1001,420.5263,0.05,0.000256
20,18,CompoundBoxSolid,0,290.35,0,0.000265
12,20,CompoundBoxSolid,126.2105,194,0.95,0.000253
14,20,CompoundBoxSolid,215,188.4,0.75,0.00026
16,20,CompoundBoxSolid,381.0714,214,0.7,0.000247
18,20,CompoundBoxSolid,418.6667,223.7059,0.15,0.000273
20,20,CompoundBoxSolid,1001,338.8947,0.05,0.00027
