NumberOfBoxes,SolverIterations,Friction,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
10,6,1,0,666,0,0.000308
12,6,1,0,472,0,0.000329
14,6,1,0,431,0,0.000339
16,6,1,0,266.5,0,0.000373
18,6,1,0,229,0,0.000393
20,6,1,0,199,0,0.000413
10,10,1,68,0,1,0.000311
12,10,1,1001,0,1,0.000319
14,10,1,1001,121,0.5,0.000319
16,10,1,0,300.5,0,0.000346
18,10,1,0,497.5,0,0.000378
20,10,1,0,296.5,0,0.000427
10,14,1,51,0,1,0.000345
12,14,1,92,0,1,0.00034
14,14,1,310,0,1,0.000331
16,14,1,843,210,0.5,0.000367
18,14,1,0,316,0,0.000398
20,14,1,0,331,0,0.000402
10,6,2,0,738,0,0.000309
12,6,2,0,517,0,0.000342
14,6,2,0,423.5,0,0.000338
16,6,2,0,256,0,0.000373
18,6,2,0,245.5,0,0.000409
20,6,2,0,207.5,0,0.00042
10,10,2,44.5,0,1,0.000346
12,10,2,1001,0,1,0.000326
14,10,2,0,661,0,0.000332
16,10,2,0,351.5,0,0.000417
18,10,2,0,322.5,0,0.000386
20,10,2,0,345.5,0,0.000408
10,14,2,54,0,1,0.000334
12,14,2,235.5,0,1,0.000344
14,14,2,669.5,0,1,0.000316
16,14,2,0,323,0,0.000357
18,14,2,309,659,0.5,0.000382
20,14,2,0,320.5,0,0.000395
