Gravity,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
1,199,0,1,0.000273
1.5,368,0,1,0.000272
2,494.25,0,1,0.000275
2.5,808,0,1,0.000272
3,1001,0,1,0.000278
3.5,0,807,0,0.000275
4,0,691,0,0.000293
4.5,0,843.75,0,0.000269
5,0,629,0,0.000272
5.5,0,773,0,0.000281
6,0,529,0,0.000275
6.5,0,563.5,0,0.000271
7,0,479,0,0.000269
7.5,0,508.5,0,0.000269
8,0,466.5,0,0.000275
8.5,0,466,0,0.000277
9,0,393,0,0.000283
9.5,0,332,0,0.000274
10,0,359.5,0,0.00028
10.5,0,260.5,0,0.000278
11,0,210.5,0,0.000285
11.5,0,232,0,0.000279
12,0,165.5,0,0.000278
